Final Category,Debit_sum,Debit_count,Debit_mean,Credit_sum,Credit_count,Credit_mean,Net_Amount
Other Computer Services,4477195.02,1272,3519.807405660377,242193.07,15,16146.204666666667,4235001.949999999
E-commerce Platforms,3824673.67,181,21130.793756906078,91283.7,3,30427.899999999998,3733389.9699999997
Security Services,379070.68,46,8240.66695652174,0.0,0,,379070.68
Analytics & Monitoring,307579.57,125,2460.63656,0.0,0,,307579.57
AI Services,199931.19,132,1514.6302272727273,0.0,0,,199931.19
Productivity Software,199333.65,200,996.66825,7033.36,1,7033.36,192300.29
Development Tools,191344.31,165,1159.6624848484848,0.0,0,,191344.31
Design Tools,139394.0,39,3574.2051282051284,0.0,0,,139394.0
Domain & Hosting,138153.27000000002,35,3947.236285714286,0.0,0,,138153.27000000002
Collaboration Tools,109323.03,67,1631.6870149253732,0.0,0,,109323.03
Communication,100618.74,66,1524.5263636363636,0.0,0,,100618.74
Subscription Management,64796.340000000004,37,1751.2524324324324,0.0,0,,64796.340000000004
Cloud Services,48966.38,97,504.8080412371134,17.76,1,17.76,48948.619999999995
Payment Processing,48497.34,19,2552.4915789473685,0.0,0,,48497.34
API Services,28057.53,9,3117.503333333333,0.0,0,,28057.53
Customer Support,26249.21,8,3281.15125,0.0,0,,26249.21
Marketing Tools,21869.87,50,437.3974,0.0,0,,21869.87
Content Management,15693.310000000001,2,7846.655000000001,0.0,0,,15693.310000000001
